object_count,Timestamp,Coordinates,TimeDifference,timestamp,date,ClosestMatch
1,2024-02-10T14:59:21.723889Z,"[52.4952289, 13.4444153]",0.388889,0.3728813559322034,2024-03-17,0.388889
2,2024-02-10T14:59:22.380000Z,"[52.4952457, 13.444421]",1.045,1.0508474576271187,2024-03-17,1.045
3,2024-02-10T14:59:23.592222Z,"[52.4952622, 13.4443702]",2.257222,2.2542372881355934,2024-03-17,2.257222
4,2024-02-10T14:59:23.981111Z,"[52.4952682, 13.4443565]",2.646111,2.6271186440677967,2024-03-17,2.646111
5,2024-02-10T14:59:24.860000Z,"[52.4952825, 13.4443198]",3.525,3.542372881355932,2024-03-17,3.525
6,2024-02-10T14:59:25.405556Z,"[52.4952973, 13.4442938]",4.070556,4.0508474576271185,2024-03-17,4.070556
7,2024-02-10T14:59:25.738889Z,"[52.4953044, 13.4442827]",4.403889,4.406779661016949,2024-03-17,4.403889
8,2024-02-10T14:59:26.840000Z,"[52.4953275, 13.444231]",5.505,5.508474576271187,2024-03-17,5.505
9,2024-02-10T14:59:27.830000Z,"[52.4953402, 13.444183]",6.495,6.508474576271187,2024-03-17,6.495
10,2024-02-10T14:59:28.819444Z,"[52.495352, 13.4441284]",7.484444,7.47457627118644,2024-03-17,7.484444
11,2024-02-10T14:59:29.420556Z,"[52.4953677, 13.4440986]",8.085556,8.101694915254237,2024-03-17,8.085556
12,2024-02-10T14:59:30.632778Z,"[52.4953955, 13.4440364]",9.297778,9.305084745762713,2024-03-17,9.297778
13,2024-02-10T14:59:31.188333Z,"[52.4954032, 13.4440039]",9.853333,9.830508474576272,2024-03-17,9.853333
14,2024-02-10T14:59:31.789444Z,"[52.4954111, 13.4439685]",10.454444,10.457627118644067,2024-03-17,10.454444
15,2024-02-10T14:59:32.289444Z,"[52.4954188, 13.443945]",10.954444,11.864406779661016,2024-03-17,10.954444
