Timestamp,Coordinates
2024-02-10T14:59:21.335000Z,"[52.4952238, 13.4444242]"
2024-02-10T14:59:21.390556Z,"[52.4952243, 13.4444228]"
2024-02-10T14:59:21.446111Z,"[52.4952253, 13.4444217]"
2024-02-10T14:59:21.501667Z,"[52.4952264, 13.4444209]"
2024-02-10T14:59:21.557222Z,"[52.4952262, 13.4444184]"
2024-02-10T14:59:21.612778Z,"[52.4952267, 13.4444168]"
2024-02-10T14:59:21.668333Z,"[52.495228, 13.4444152]"
2024-02-10T14:59:21.723889Z,"[52.4952289, 13.4444153]"
2024-02-10T14:59:21.779444Z,"[52.4952306, 13.4444162]"
2024-02-10T14:59:21.835000Z,"[52.4952326, 13.4444171]"
2024-02-10T14:59:21.890556Z,"[52.495235, 13.4444188]"
2024-02-10T14:59:21.946111Z,"[52.4952371, 13.4444197]"
2024-02-10T14:59:22.001667Z,"[52.495239, 13.4444202]"
2024-02-10T14:59:22.057222Z,"[52.4952404, 13.4444205]"
2024-02-10T14:59:22.112778Z,"[52.4952416, 13.4444215]"
2024-02-10T14:59:22.168333Z,"[52.4952426, 13.4444216]"
2024-02-10T14:59:22.223889Z,"[52.4952435, 13.4444216]"
2024-02-10T14:59:22.279444Z,"[52.4952445, 13.4444215]"
2024-02-10T14:59:22.380000Z,"[52.4952457, 13.444421]"
2024-02-10T14:59:22.435556Z,"[52.4952468, 13.4444201]"
2024-02-10T14:59:22.491111Z,"[52.4952475, 13.4444191]"
2024-02-10T14:59:22.546667Z,"[52.4952481, 13.444418]"
2024-02-10T14:59:22.602222Z,"[52.4952491, 13.4444166]"
2024-02-10T14:59:22.657778Z,"[52.4952483, 13.4444128]"
2024-02-10T14:59:22.713333Z,"[52.4952489, 13.4444102]"
2024-02-10T14:59:22.768889Z,"[52.4952499, 13.444408]"
2024-02-10T14:59:22.824444Z,"[52.4952507, 13.4444049]"
2024-02-10T14:59:22.880000Z,"[52.4952519, 13.4444024]"
