,Timestamp,Coordinates,TimeDifference
0,2024-02-10T14:59:21.335000Z,"[52.4952238, 13.4444242]",0.0
1,2024-02-10T14:59:21.390556Z,"[52.4952243, 13.4444228]",0.055556
2,2024-02-10T14:59:21.446111Z,"[52.4952253, 13.4444217]",0.111111
3,2024-02-10T14:59:21.501667Z,"[52.4952264, 13.4444209]",0.166667
4,2024-02-10T14:59:21.557222Z,"[52.4952262, 13.4444184]",0.222222
5,2024-02-10T14:59:21.612778Z,"[52.4952267, 13.4444168]",0.277778
6,2024-02-10T14:59:21.668333Z,"[52.495228, 13.4444152]",0.333333
7,2024-02-10T14:59:21.723889Z,"[52.4952289, 13.4444153]",0.388889
8,2024-02-10T14:59:21.779444Z,"[52.4952306, 13.4444162]",0.444444
9,2024-02-10T14:59:21.835000Z,"[52.4952326, 13.4444171]",0.5
10,2024-02-10T14:59:21.890556Z,"[52.495235, 13.4444188]",0.555556
11,2024-02-10T14:59:21.946111Z,"[52.4952371, 13.4444197]",0.611111
12,2024-02-10T14:59:22.001667Z,"[52.495239, 13.4444202]",0.666667
13,2024-02-10T14:59:22.057222Z,"[52.4952404, 13.4444205]",0.722222
14,2024-02-10T14:59:22.112778Z,"[52.4952416, 13.4444215]",0.777778
15,2024-02-10T14:59:22.168333Z,"[52.4952426, 13.4444216]",0.833333
16,2024-02-10T14:59:22.223889Z,"[52.4952435, 13.4444216]",0.888889
17,2024-02-10T14:59:22.279444Z,"[52.4952445, 13.4444215]",0.944444
18,2024-02-10T14:59:22.380000Z,"[52.4952457, 13.444421]",1.045
19,2024-02-10T14:59:22.435556Z,"[52.4952468, 13.4444201]",1.100556
20,2024-02-10T14:59:22.491111Z,"[52.4952475, 13.4444191]",1.156111
21,2024-02-10T14:59:22.546667Z,"[52.4952481, 13.444418]",1.211667
22,2024-02-10T14:59:22.602222Z,"[52.4952491, 13.4444166]",1.267222
23,2024-02-10T14:59:22.657778Z,"[52.4952483, 13.4444128]",1.322778
24,2024-02-10T14:59:22.713333Z,"[52.4952489, 13.4444102]",1.378333
25,2024-02-10T14:59:22.768889Z,"[52.4952499, 13.444408]",1.433889
26,2024-02-10T14:59:22.824444Z,"[52.4952507, 13.4444049]",1.489444
27,2024-02-10T14:59:22.880000Z,"[52.4952519, 13.4444024]",1.545
28,2024-02-10T14:59:22.935556Z,"[52.4952526, 13.4444002]",1.600556
29,2024-02-10T14:59:22.991111Z,"[52.4952536, 13.4443968]",1.656111
30,2024-02-10T14:59:23.046667Z,"[52.4952552, 13.444394]",1.711667
31,2024-02-10T14:59:23.102222Z,"[52.4952557, 13.4443902]",1.767222
32,2024-02-10T14:59:23.157778Z,"[52.4952568, 13.4443879]",1.822778
33,2024-02-10T14:59:23.213333Z,"[52.495257, 13.4443834]",1.878333
34,2024-02-10T14:59:23.268889Z,"[52.4952577, 13.4443805]",1.933889
